id,date,positive,negative,totalTestResults,recovered,death
IN,2020-11-29,333312.0,1855616.0,4222028.0,191290.0,5685.0
MS,2020-11-29,151785.0,947272.0,1099057.0,121637.0,3806.0
NC,2020-11-29,361778.0,4924710.0,5286488.0,293555.0,5240.0
ND,2020-11-29,78658.0,270281.0,1081000.0,70901.0,921.0
NY,2020-11-29,641161.0,18631363.0,19272524.0,85287.0,26690.0
UT,2020-11-29,193809.0,1136775.0,1817032.0,132081.0,868.0
AR,2020-11-28,155026.0,1529514.0,1665585.0,135614.0,2449.0
CO,2020-11-28,225283.0,1510259.0,3143227.0,12153.0,2521.0
CT,2020-11-28,112581.0,3042036.0,3154617.0,9800.0,4961.0
IN,2020-11-28,329008.0,1845743.0,4183401.0,189640.0,5663.0
MS,2020-11-28,149940.0,947272.0,1097212.0,121637.0,3779.0
NC,2020-11-28,357958.0,4886896.0,5244854.0,293555.0,5219.0
ND,2020-11-28,77935.0,269446.0,1072080.0,69669.0,921.0
NY,2020-11-28,634438.0,18480766.0,19115204.0,84938.0,26632.0
UT,2020-11-28,192087.0,1133006.0,1808085.0,129652.0,863.0
AR,2020-11-27,153677.0,1521090.0,1655994.0,134312.0,2436.0
CO,2020-11-27,220953.0,1496454.0,3091838.0,11957.0,2521.0
CT,2020-11-27,112581.0,3042036.0,3154617.0,9800.0,4961.0
IN,2020-11-27,324537.0,1837573.0,4148596.0,187259.0,5594.0
MS,2020-11-27,148387.0,947272.0,1095659.0,121637.0,3769.0
NC,2020-11-27,354514.0,4838308.0,5192822.0,293555.0,5210.0
ND,2020-11-27,77232.0,268839.0,1065157.0,68105.0,908.0
NY,2020-11-27,628375.0,18334474.0,18962849.0,84723.0,26588.0
UT,2020-11-27,190044.0,1128311.0,1797403.0,126690.0,849.0
AR,2020-11-26,152625.0,1513202.0,1647144.0,132580.0,2436.0
CO,2020-11-26,216683.0,1482962.0,3046149.0,11782.0,2521.0
CT,2020-11-26,109152.0,2973961.0,3083113.0,9800.0,4926.0
IN,2020-11-26,318894.0,1826833.0,4100250.0,182726.0,5561.0
MS,2020-11-26,147382.0,947272.0,1094654.0,121637.0,3763.0
NC,2020-11-26,346506.0,4738063.0,5084569.0,293555.0,5138.0
ND,2020-11-26,76442.0,268312.0,1058014.0,67200.0,903.0
NY,2020-11-26,620199.0,18123208.0,18743407.0,84339.0,26549.0
UT,2020-11-26,183902.0,1113971.0,1765766.0,120890.0,834.0
AR,2020-11-25,150277.0,1500257.0,1632506.0,130818.0,2425.0
CO,2020-11-25,210630.0,1461092.0,2980399.0,11628.0,2521.0
CT,2020-11-25,109152.0,2973961.0,3083113.0,9800.0,4926.0
IN,2020-11-25,312521.0,1813874.0,4038194.0,177972.0,5498.0
MS,2020-11-25,145636.0,947272.0,1092908.0,121637.0,3745.0
NC,2020-11-25,346506.0,4738063.0,5084569.0,293555.0,5138.0
ND,2020-11-25,75478.0,267359.0,1049728.0,65976.0,893.0
NY,2020-11-25,613266.0,17912420.0,18525686.0,84001.0,26482.0
UT,2020-11-25,183902.0,1113971.0,1765766.0,120890.0,834.0
AR,2020-11-24,148312.0,1487077.0,1617903.0,128831.0,2405.0
CO,2020-11-24,206439.0,1448160.0,2939263.0,11430.0,2466.0
CT,2020-11-24,107280.0,2944450.0,3051730.0,9800.0,4881.0
IN,2020-11-24,306538.0,1801206.0,3976683.0,173231.0,5435.0
MS,2020-11-24,144544.0,947272.0,1091816.0,121637.0,3729.0
NC,2020-11-24,342294.0,4686443.0,5028737.0,293555.0,5074.0
ND,2020-11-24,74401.0,266632.0,1040798.0,64611.0,889.0
NY,2020-11-24,607001.0,17745600.0,18352601.0,83701.0,26441.0
UT,2020-11-24,182121.0,1109001.0,1753460.0,118773.0,808.0
AR,2020-11-23,146190.0,1475768.0,1605173.0,127059.0,2387.0
CO,2020-11-23,202289.0,1437928.0,2901740.0,11201.0,2456.0
CT,2020-11-23,106740.0,2931749.0,3038489.0,9800.0,4871.0
IN,2020-11-23,300913.0,1789815.0,3939645.0,169211.0,5332.0
MS,2020-11-23,143879.0,947272.0,1091151.0,121637.0,3676.0
NC,2020-11-23,339194.0,4644574.0,4983768.0,293555.0,5039.0
ND,2020-11-23,73397.0,266086.0,1033394.0,62697.0,852.0
NY,2020-11-23,602120.0,17585720.0,18187840.0,83307.0,26390.0
UT,2020-11-23,179420.0,1099924.0,1735824.0,117104.0,797.0
AR,2020-11-22,145173.0,1466454.0,1594947.0,125153.0,2357.0
CO,2020-11-22,198600.0,1422279.0,2855610.0,11014.0,2355.0
CT,2020-11-22,101469.0,2827591.0,2929060.0,9800.0,4828.0
IN,2020-11-22,295357.0,1777333.0,3897545.0,164992.0,5305.0
MS,2020-11-22,143180.0,906991.0,1050171.0,116683.0,3676.0
NC,2020-11-22,336775.0,4610839.0,4947614.0,276132.0,5034.0
ND,2020-11-22,72683.0,265204.0,1026922.0,61599.0,846.0
NY,2020-11-22,596214.0,17400137.0,17996351.0,83307.0,26357.0
UT,2020-11-22,177176.0,1095072.0,1725711.0,115904.0,793.0
AR,2020-11-21,143821.0,1453725.0,1580941.0,123722.0,2337.0
CO,2020-11-21,194679.0,1404015.0,2807638.0,10831.0,2355.0
CT,2020-11-21,101469.0,2827591.0,2929060.0,9800.0,4828.0
IN,2020-11-21,289183.0,1763960.0,3846380.0,163741.0,5246.0
MS,2020-11-21,142401.0,906991.0,1049392.0,116683.0,3657.0
NC,2020-11-21,332261.0,4545815.0,4878076.0,276132.0,5005.0
ND,2020-11-21,71540.0,264148.0,1017029.0,60640.0,840.0
NY,2020-11-21,590822.0,17208919.0,17799741.0,83031.0,26326.0
UT,2020-11-21,173979.0,1085803.0,1706604.0,114058.0,787.0
AR,2020-11-20,141916.0,1440090.0,1565873.0,122219.0,2321.0
CO,2020-11-20,188566.0,1384398.0,2752718.0,10618.0,2355.0
CT,2020-11-20,101469.0,2827591.0,2929060.0,9800.0,4828.0
IN,2020-11-20,282311.0,1748627.0,3785422.0,162324.0,5206.0
MS,2020-11-20,140429.0,906991.0,1047420.0,116683.0,3642.0
NC,2020-11-20,328846.0,4490183.0,4819029.0,276132.0,4979.0
ND,2020-11-20,70016.0,263312.0,1005269.0,59283.0,840.0
NY,2020-11-20,584850.0,17006984.0,17591834.0,82766.0,26292.0
UT,2020-11-20,170584.0,1077091.0,1688789.0,112356.0,773.0
AR,2020-11-19,139855.0,1428285.0,1552450.0,120545.0,2297.0
CO,2020-11-19,182801.0,1363706.0,2695700.0,10392.0,2350.0
CT,2020-11-19,99381.0,2797899.0,2897280.0,9800.0,4805.0
IN,2020-11-19,275503.0,1734260.0,3725334.0,159413.0,5143.0
MS,2020-11-19,138791.0,906991.0,1045782.0,116683.0,3619.0
NC,2020-11-19,325158.0,4461105.0,4786263.0,276132.0,4936.0
ND,2020-11-19,68612.0,262565.0,995870.0,57686.0,801.0
NY,2020-11-19,579382.0,16806986.0,17386368.0,82507.0,26257.0
UT,2020-11-19,165996.0,1067334.0,1667260.0,110007.0,756.0
AR,2020-11-18,137617.0,1415302.0,1537783.0,118751.0,2275.0
CO,2020-11-18,176694.0,1343574.0,2640615.0,10195.0,2324.0
CT,2020-11-18,97028.0,2763656.0,2860684.0,9800.0,4784.0
IN,2020-11-18,268222.0,1721234.0,3668049.0,156423.0,5084.0
MS,2020-11-18,137396.0,906991.0,1044387.0,116683.0,3601.0
NC,2020-11-18,320862.0,4410309.0,4731171.0,276132.0,4898.0
ND,2020-11-18,67230.0,261680.0,986340.0,56468.0,791.0
NY,2020-11-18,574072.0,16617057.0,17191129.0,82022.0,26225.0
UT,2020-11-18,162028.0,1056915.0,1645292.0,108182.0,740.0
AR,2020-11-17,135902.0,1404126.0,1525279.0,117068.0,2245.0
CO,2020-11-17,172044.0,1328305.0,2599581.0,10004.0,2299.0
CT,2020-11-17,94986.0,2731472.0,2826458.0,9800.0,4771.0
IN,2020-11-17,262207.0,1706881.0,3612076.0,153381.0,5025.0
MS,2020-11-17,135803.0,906991.0,1042794.0,116683.0,3581.0
NC,2020-11-17,317495.0,4380066.0,4697561.0,276132.0,4852.0
ND,2020-11-17,65967.0,261373.0,976806.0,55176.0,775.0
NY,2020-11-17,568778.0,16467917.0,17036695.0,82022.0,26189.0
UT,2020-11-17,158957.0,1049160.0,1629097.0,106601.0,732.0
AR,2020-11-16,134348.0,1396858.0,1516866.0,115625.0,2225.0
CO,2020-11-16,167713.0,1313593.0,2560096.0,9828.0,2276.0
CT,2020-11-16,93284.0,2699868.0,2793152.0,9800.0,4759.0
IN,2020-11-16,256744.0,1695458.0,3569955.0,150235.0,4936.0
MS,2020-11-16,134898.0,906991.0,1041889.0,116683.0,3545.0
NC,2020-11-16,314207.0,4345622.0,4659829.0,276132.0,4814.0
ND,2020-11-16,64885.0,260606.0,970684.0,53242.0,749.0
NY,2020-11-16,563690.0,16313153.0,16876843.0,81908.0,26159.0
UT,2020-11-16,155779.0,1042778.0,1615313.0,105481.0,723.0
AR,2020-11-15,133040.0,1386711.0,1505554.0,114312.0,2183.0
CO,2020-11-15,163417.0,1299566.0,2523752.0,9657.0,2234.0
CT,2020-11-15,88645.0,2618022.0,2706667.0,9800.0,4737.0
IN,2020-11-15,251597.0,1686692.0,3536082.0,146886.0,4910.0
MS,2020-11-15,134309.0,873863.0,1008172.0,111430.0,3543.0
NC,2020-11-15,312235.0,4320374.0,4632609.0,261719.0,4806.0
ND,2020-11-15,63796.0,259864.0,962925.0,51936.0,742.0
NY,2020-11-15,560200.0,16192078.0,16752278.0,81788.0,26133.0
UT,2020-11-15,153808.0,1035460.0,1601793.0,104317.0,718.0
AR,2020-11-14,130318.0,1367077.0,1483864.0,112383.0,2148.0
CO,2020-11-14,159234.0,1285090.0,2485451.0,9528.0,2234.0
CT,2020-11-14,88645.0,2618022.0,2706667.0,9800.0,4737.0
IN,2020-11-14,244887.0,1673064.0,3482745.0,146000.0,4888.0
MS,2020-11-14,133340.0,873863.0,1007203.0,111430.0,3540.0
NC,2020-11-14,309118.0,4282407.0,4591525.0,261719.0,4756.0
ND,2020-11-14,62872.0,259356.0,955475.0,50835.0,732.0
NY,2020-11-14,556551.0,16062525.0,16619076.0,81585.0,26103.0
UT,2020-11-14,151141.0,1029583.0,1588754.0,102514.0,710.0
AR,2020-11-13,130318.0,1367077.0,1483864.0,112383.0,2148.0
CO,2020-11-13,154038.0,1269863.0,2443599.0,9352.0,2234.0
CT,2020-11-13,88645.0,2618022.0,2706667.0,9800.0,4737.0
IN,2020-11-13,236565.0,1656505.0,3414373.0,144548.0,4863.0
MS,2020-11-13,131970.0,873863.0,1005833.0,111430.0,3519.0
NC,2020-11-13,305233.0,4231534.0,4536767.0,261719.0,4720.0
ND,2020-11-13,60602.0,258136.0,942125.0,49409.0,713.0
NY,2020-11-13,551163.0,15883751.0,16434914.0,81390.0,26079.0
UT,2020-11-13,145789.0,1018942.0,1567347.0,100892.0,701.0
AR,2020-11-12,128006.0,1354919.0,1470147.0,111357.0,2144.0
CO,2020-11-12,147599.0,1252650.0,2391802.0,9148.0,2234.0
CT,2020-11-12,85899.0,2577582.0,2663481.0,9800.0,4726.0
IN,2020-11-12,230965.0,1645352.0,3370098.0,142017.0,4813.0
MS,2020-11-12,130665.0,873863.0,1004528.0,111430.0,3514.0
NC,2020-11-12,303454.0,4197320.0,4500774.0,261719.0,4706.0
ND,2020-11-12,59173.0,257221.0,930981.0,48055.0,703.0
NY,2020-11-12,545762.0,15685431.0,16231193.0,81198.0,26055.0
UT,2020-11-12,143639.0,1012077.0,1551650.0,98897.0,687.0
AR,2020-11-11,126197.0,1343051.0,1456994.0,110365.0,2126.0
CO,2020-11-11,142402.0,1252650.0,2347268.0,8980.0,2201.0
CT,2020-11-11,84741.0,2554464.0,2639205.0,9800.0,4716.0
IN,2020-11-11,224374.0,1629326.0,3307845.0,139444.0,4762.0
MS,2020-11-11,129394.0,873863.0,1003257.0,111430.0,3497.0
NC,2020-11-11,300561.0,4159727.0,4460288.0,261719.0,4698.0
ND,2020-11-11,57373.0,256234.0,917951.0,45031.0,691.0
NY,2020-11-11,540965.0,15527601.0,16068566.0,81020.0,26026.0
UT,2020-11-11,139720.0,1004293.0,1534980.0,97269.0,678.0
AR,2020-11-10,124235.0,1332008.0,1444744.0,109235.0,2112.0
CO,2020-11-10,138427.0,1236359.0,2306782.0,8846.0,2201.0
CT,2020-11-10,82987.0,2519275.0,2602262.0,9800.0,4707.0
IN,2020-11-10,219338.0,1618292.0,3269653.0,136988.0,4731.0
MS,2020-11-10,128138.0,873863.0,1002001.0,111430.0,3480.0
NC,2020-11-10,297442.0,4132470.0,4429912.0,261719.0,4660.0
ND,2020-11-10,56342.0,255540.0,907372.0,43949.0,649.0
NY,2020-11-10,536145.0,15368121.0,15904266.0,80854.0,26005.0
UT,2020-11-10,137385.0,998243.0,1522009.0,95975.0,672.0
AR,2020-11-09,122811.0,1324655.0,1436416.0,108201.0,2108.0
CO,2020-11-09,134537.0,1224658.0,2274428.0,8738.0,2179.0
CT,2020-11-09,81463.0,2498115.0,2579578.0,9800.0,4698.0
IN,2020-11-09,214509.0,1608520.0,3239034.0,134598.0,4664.0
MS,2020-11-09,127205.0,873863.0,1001068.0,111430.0,3443.0
NC,2020-11-09,294860.0,4104756.0,4399616.0,261719.0,4615.0
ND,2020-11-09,55458.0,255540.0,907372.0,43949.0,649.0
NY,2020-11-09,532180.0,15244050.0,15776230.0,80764.0,25973.0
UT,2020-11-09,134868.0,990535.0,1505580.0,94929.0,661.0
AR,2020-11-08,121866.0,1316939.0,1427871.0,107287.0,2085.0
CO,2020-11-08,130984.0,1210972.0,2245385.0,8667.0,2168.0
CT,2020-11-08,78125.0,2411479.0,2489604.0,9800.0,4671.0
IN,2020-11-08,210374.0,1599566.0,3210666.0,131979.0,4629.0
MS,2020-11-08,126689.0,837208.0,963897.0,105839.0,3443.0
NC,2020-11-08,293339.0,4071722.0,4365061.0,246318.0,4607.0
ND,2020-11-08,54305.0,255193.0,900448.0,43103.0,644.0
NY,2020-11-08,529036.0,15135778.0,15664814.0,80646.0,25947.0
UT,2020-11-08,132621.0,984111.0,1492793.0,93763.0,659.0
AR,2020-11-07,120828.0,1308477.0,1418493.0,106594.0,2068.0
CO,2020-11-07,127967.0,1200007.0,2214788.0,8562.0,2168.0
CT,2020-11-07,78125.0,2411479.0,2489604.0,9800.0,4671.0
IN,2020-11-07,205722.0,1588676.0,3167518.0,131277.0,4592.0
MS,2020-11-07,125885.0,837208.0,963093.0,105839.0,3433.0
NC,2020-11-07,291245.0,4032911.0,4324156.0,246318.0,4605.0
ND,2020-11-07,53204.0,254767.0,894384.0,42251.0,633.0
NY,2020-11-07,525608.0,14993564.0,15519172.0,80494.0,25928.0
UT,2020-11-07,130235.0,977759.0,1480537.0,92656.0,658.0
AR,2020-11-06,119230.0,1298264.0,1407002.0,105746.0,2056.0
CO,2020-11-06,124469.0,1186377.0,2177091.0,8478.0,2168.0
CT,2020-11-06,78125.0,2411479.0,2489604.0,9800.0,4671.0
IN,2020-11-06,200823.0,1576282.0,3117069.0,130248.0,4547.0
MS,2020-11-06,124854.0,837208.0,962062.0,105839.0,3419.0
NC,2020-11-06,288569.0,3988807.0,4277376.0,246318.0,4582.0
ND,2020-11-06,51602.0,254063.0,884732.0,41175.0,618.0
NY,2020-11-06,522021.0,14833860.0,15355881.0,80368.0,25910.0
UT,2020-11-06,127279.0,969349.0,1463556.0,91340.0,649.0
AR,2020-11-05,117360.0,1285613.0,1392905.0,104816.0,2037.0
CO,2020-11-05,121006.0,1173474.0,2141933.0,8366.0,2158.0
CT,2020-11-05,77060.0,2382861.0,2459921.0,9800.0,4656.0
IN,2020-11-05,196176.0,1565771.0,3073855.0,128674.0,4511.0
MS,2020-11-05,123887.0,837208.0,961095.0,105839.0,3405.0
NC,2020-11-05,285661.0,3941281.0,4226942.0,246318.0,4548.0
ND,2020-11-05,49837.0,253133.0,873345.0,40017.0,601.0
NY,2020-11-05,518812.0,14676364.0,15195176.0,80225.0,25892.0
UT,2020-11-05,124292.0,962052.0,1447849.0,89837.0,632.0
AR,2020-11-04,115812.0,1273985.0,1380122.0,103762.0,2026.0
CO,2020-11-04,117637.0,1162210.0,2109114.0,8268.0,2147.0
CT,2020-11-04,75373.0,2326504.0,2401877.0,9800.0,4645.0
IN,2020-11-04,191764.0,1556732.0,3032762.0,127143.0,4464.0
MS,2020-11-04,122275.0,837208.0,959483.0,105839.0,3397.0
NC,2020-11-04,282802.0,3901456.0,4184258.0,246318.0,4507.0
ND,2020-11-04,48301.0,252788.0,864328.0,39163.0,572.0
NY,2020-11-04,515815.0,14518342.0,15034157.0,80109.0,25868.0
UT,2020-11-04,121485.0,952467.0,1429386.0,88347.0,625.0
AR,2020-11-03,114519.0,1263662.0,1368885.0,102666.0,2003.0
CO,2020-11-03,114709.0,1152436.0,2082151.0,8179.0,2134.0
CT,2020-11-03,73858.0,2294136.0,2367994.0,9800.0,4627.0
IN,2020-11-03,188066.0,1545509.0,2995343.0,125661.0,4439.0
MS,2020-11-03,121509.0,837208.0,958717.0,105839.0,3384.0
NC,2020-11-03,280377.0,3877101.0,4157478.0,246318.0,4457.0
ND,2020-11-03,47187.0,252303.0,856372.0,38236.0,560.0
NY,2020-11-03,513689.0,14386934.0,14900623.0,79990.0,25853.0
UT,2020-11-03,119375.0,949064.0,1420855.0,87211.0,620.0
AR,2020-11-02,113641.0,1258726.0,1363429.0,101507.0,1985.0
CO,2020-11-02,112147.0,1144181.0,2060642.0,8106.0,2126.0
CT,2020-11-02,73858.0,2294136.0,2367994.0,9800.0,4627.0
IN,2020-11-02,185185.0,1537657.0,2970330.0,123980.0,4390.0
MS,2020-11-02,120865.0,837208.0,958073.0,105839.0,3348.0
NC,2020-11-02,278028.0,3849568.0,4127596.0,246318.0,4390.0
ND,2020-11-02,46015.0,251432.0,848765.0,37035.0,545.0
NY,2020-11-02,511368.0,14261386.0,14772754.0,79831.0,25838.0
UT,2020-11-02,117706.0,943464.0,1410145.0,86269.0,614.0
AR,2020-11-01,112190.0,1243490.0,1346972.0,100067.0,1925.0
CO,2020-11-01,109910.0,1133557.0,2034795.0,8038.0,2105.0
CT,2020-11-01,71207.0,2217377.0,2288584.0,9800.0,4616.0
IN,2020-11-01,182108.0,1527836.0,2941037.0,122446.0,4364.0
MS,2020-11-01,120500.0,804264.0,924764.0,101385.0,3348.0
NC,2020-11-01,276692.0,3818673.0,4095365.0,231611.0,4383.0
ND,2020-11-01,45043.0,250750.0,841049.0,36142.0,536.0
NY,2020-11-01,509735.0,14166918.0,14676653.0,79831.0,25824.0
UT,2020-11-01,116510.0,936881.0,1398355.0,85299.0,614.0
AR,2020-10-31,112190.0,1243490.0,1346972.0,100067.0,1925.0
CO,2020-10-31,107350.0,1122056.0,2004722.0,7963.0,2105.0
CT,2020-10-31,71207.0,2217377.0,2288584.0,9800.0,4616.0
IN,2020-10-31,179358.0,1519650.0,2910617.0,121813.0,4332.0
MS,2020-10-31,120160.0,804264.0,924424.0,101385.0,3334.0
NC,2020-10-31,274635.0,3780521.0,4055156.0,231611.0,4378.0
ND,2020-10-31,43916.0,250148.0,832109.0,35533.0,529.0
NY,2020-10-31,507480.0,14020238.0,14527718.0,79717.0,25807.0
UT,2020-10-31,114656.0,932163.0,1389062.0,84101.0,604.0
AR,2020-10-30,110874.0,1234166.0,1336571.0,99165.0,1900.0
CO,2020-10-30,104426.0,1110041.0,1963585.0,7854.0,2105.0
CT,2020-10-30,71207.0,2217377.0,2288584.0,9800.0,4616.0
IN,2020-10-30,175893.0,1508890.0,2863919.0,120925.0,4286.0
MS,2020-10-30,119336.0,804264.0,923600.0,101385.0,3328.0
NC,2020-10-30,271830.0,3733961.0,4005791.0,231611.0,4332.0
ND,2020-10-30,42483.0,249455.0,823327.0,34696.0,517.0
NY,2020-10-30,505431.0,13885325.0,14390756.0,79621.0,25804.0
UT,2020-10-30,112932.0,926583.0,1377493.0,82752.0,601.0
AR,2020-10-29,109712.0,1223702.0,1325290.0,98340.0,1894.0
CO,2020-10-29,102014.0,1101195.0,1936408.0,7798.0,2095.0
CT,2020-10-29,70446.0,2187446.0,2257892.0,9800.0,4609.0
IN,2020-10-29,172730.0,1498363.0,2822852.0,119664.0,4260.0
MS,2020-10-29,118587.0,804264.0,922851.0,101385.0,3310.0
NC,2020-10-29,269021.0,3692322.0,3961343.0,231611.0,4283.0
ND,2020-10-29,41130.0,248390.0,812012.0,33860.0,504.0
NY,2020-10-29,503176.0,13740695.0,14243871.0,79501.0,25792.0
UT,2020-10-29,110640.0,919232.0,1361952.0,81403.0,598.0
AR,2020-10-28,108640.0,1212191.0,1312942.0,97450.0,1875.0
CO,2020-10-28,100208.0,1091650.0,1910983.0,7724.0,2094.0
CT,2020-10-28,69127.0,2166246.0,2235373.0,9800.0,4604.0
IN,2020-10-28,169112.0,1487978.0,2783748.0,118268.0,4227.0
MS,2020-10-28,117617.0,763987.0,881604.0,101385.0,3302.0
NC,2020-10-28,266136.0,3656906.0,3923042.0,231611.0,4245.0
ND,2020-10-28,39907.0,247617.0,804167.0,33172.0,493.0
NY,2020-10-28,500677.0,13574841.0,14075518.0,79366.0,25773.0
UT,2020-10-28,108803.0,911159.0,1346969.0,79918.0,588.0
AR,2020-10-27,107679.0,1203175.0,1303236.0,96322.0,1857.0
CO,2020-10-27,98733.0,1085021.0,1892949.0,7668.0,2082.0
CT,2020-10-27,68637.0,2152397.0,2221034.0,9800.0,4595.0
IN,2020-10-27,166564.0,1479978.0,2754311.0,116834.0,4194.0
MS,2020-10-27,116617.0,729544.0,846161.0,101385.0,3283.0
NC,2020-10-27,263883.0,3626881.0,3890764.0,231611.0,4211.0
ND,2020-10-27,39130.0,247066.0,796514.0,32339.0,481.0
NY,2020-10-27,498646.0,13447212.0,13945858.0,79230.0,25758.0
UT,2020-10-27,107228.0,906167.0,1337238.0,78946.0,578.0
AR,2020-10-26,106727.0,1195435.0,1294845.0,95314.0,1833.0
CO,2020-10-26,97300.0,1078050.0,1874101.0,7628.0,2082.0
CT,2020-10-26,68099.0,2139838.0,2207937.0,9800.0,4589.0
IN,2020-10-26,164581.0,1473651.0,2734945.0,115425.0,4143.0
MS,2020-10-26,115763.0,729544.0,845307.0,101385.0,3263.0
NC,2020-10-26,261742.0,3611171.0,3872913.0,231611.0,4170.0
ND,2020-10-26,38241.0,246237.0,790536.0,31334.0,467.0
NY,2020-10-26,496655.0,13337585.0,13834240.0,79162.0,25742.0
UT,2020-10-26,106083.0,900719.0,1334119.0,78212.0,574.0
AR,2020-10-25,106115.0,1189120.0,1288000.0,94528.0,1812.0
CO,2020-10-25,95089.0,1061145.0,1842254.0,7578.0,2076.0
CT,2020-10-25,66052.0,2049692.0,2115744.0,9800.0,4577.0
IN,2020-10-25,162607.0,1466861.0,2711078.0,113994.0,4130.0
MS,2020-10-25,115088.0,729544.0,844632.0,97675.0,3255.0
